drep,vote,amount
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,989253659304
drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,yes,26527421806301
drep1m56h8sqf90ql45fsr0kwd62u2z3ysfjdwslzrskumd3xv78pujj,yes,36151084257
drep1eg8gqrtjlwls47897a0zsgzwtj0j6q5u6wj32zuj68a3vy68w7c,yes,100166644081
drep16f203ahsan44w8xh65myl2j4k0pf8y9dsqkracyqtvwhy74judz,no,17530066664854
drep1nsrvsnf88cchsc4dzh7kvyn2xqvxn5f7hhenlt8d88gexd2e44q,yes,7752671551
drep1slvssvt0tuxzfm4c5dx0zr6ql6v63a2d90m0m5e330jvjh4vvdt,no,380571762031
drep12wy5ruujw0tef4uxhqd23gae8dqfn0sqh4mxmsxnqpz578tn3m0,abstain,18849403712447
drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,no,56898899846713
drep_script1h95f0wrxasn0fwfajwe8jtjfdw5nd880d073wh2llvxk56p3mq3,abstain,3907169011787
drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,yes,5547700451522
drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38,yes,61821658827743
drep1vavedgh6hdcwyuf8xs8nrm8l05mhsy4fj5vck9qry8rfze8l5fm,no,32352068362
drep19ryvtdugtzffk0l0prd8egy8vfrwh7gjd084kxqvfsr550e3u0c,yes,204196991902
drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,yes,10905755007931
drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx,yes,884573491780
drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,yes,56628106646577
drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,yes,62321385215528
drep1e6cuc37dxye87epzzmcfqs6t32s6ev924jp6aga77jmmvf9va2t,yes,438844626380
drep1asj4l0kevmyqegyezfrjky0jdjdkee0sruxxu2cj5c0uvmucfcj,no,505983255074
drep1lx4gzl5xvmdrthnkrtc4zxdadhwsyz6rz6r80me047t0seant4v,yes,963098932918
drep17pxh60vrch90fhqnj578064jka7hpuq6axx52g2qygjp7l0cyjd,yes,26012558530
drep1jqllek6xwv8jqjk2zc0arjpmcgjayanjavhvp53kvs8wvup32em,yes,2382757610047
drep1njlu834u0f6pxgd49tm2zc5sh0ane7jqdtnnk3rane5kc9uaz8j,no,731866181280
drep_script1tu2ttdwdmvyrnhczd9segf5w7jr88qmdwam60szll5hnuyd8mz2,yes,1686295585089
drep1rz95fefgxufcjamls4x8a6vnqjd72k624n9sq6fsfvgayqd6r5x,no,1717690013234
drep1pmy58hz70shnprfexg4z6ykfxnavtv5jdemvvl5yktydzml6wlq,no,2902688671466
drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,no,40943510728
drep1phvyckc7tqqlftyxqvp9fjdgczac4swsc7ssj26h785uxhwx0tt,abstain,15009016299664
drep1794apaznpyzr2ru4px52804nc90rtjvhqg6p4gvnnjemve07skk,yes,113923062411
drep1vkg4qhqt6pyzmtxpvvtjkueak4d7pydsmxz5lwllr53nwezunhg,no,21056252764855
drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,yes,70826553020290
drep1zpw2pt6ykazv4tcv7yax556my94hjny2vgcsuyws98ur5828t7c,no,131739316250
drep1jjx7efq77a0gtx49h9vvtraq9prsp45u5q3qrah6vw7p5t2sx66,yes,3303398700468
drep1fp42csx4609rjnua2serlxp6u9hwva8k2kfzcn4c38n9jmtdju6,yes,832263329502
drep1kwggxe5nuv93pgvcpzcaeysarctepftskt0ah0j95sjz65wcuez,no,329865073304
drep1ju2udpph53uuaut4sy6ss46rs9595yeaqnxjsvsms5htkyup4cn,yes,613236058878
drep1y99u6r8vdexm854trlwt3svysy953tv7e855vs4rxvaqsqehclg,yes,65302124581005
drep19jtzh8h0gs6dcz9mcyyqlwunwhtregu9uwvntcmfdxxlyrgelza,yes,875589517284
drep1fsu5v5c3wkhemqtw5xn722y5f3ufg644xelwwsxa55z4v8aqpuw,yes,53662004965
drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,yes,457681477201744
drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln,yes,5411725115525
drep17pq0e6f8rx6kgd5sjkatsj24fzkny3ffm54wr885uc2pzftd2ry,no,1311835710940
drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,yes,7293718447030
drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,yes,217150459624908
drep1rjxfg29kfrdx0ts4frlkm9jmev4ke3t2h7trgnwq73hl556dsfj,yes,1040714974
drep1zprs0z7slm4suzns3zz0u2agqey5tdy08r32s3gtcqtlqye94tw,no,66048064020
drep1q2e4m6f22mgaw2xnxkdhwpspt47ptqvz3yna0n56l5a9u3ma8jp,yes,14261653
drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,no,89216065696408
drep1gts2npdk6qyu2cmynyz583qffxnekzpsylz746jmk3epuwtmrhd,yes,3313950940
drep1elaryel264kl9yzsyrrnah5v9r92l97t5p6hkl27uqueclk2k9t,yes,354019758515
drep1nz5796lkhg02luejzc3aec3pdv0tz0s0tg94npxxck7qwayutfs,yes,10719897834497
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2572040200844
