drep,vote,amount
drep1jdxaxuafcx4p4nk4qz4jt2jahds50aea9y0zx7yqrlduulw68zx,yes,1875233098694
drep1k5zdh24kmcdfnnl50yng9t7n33kq4mfzdetrh3ps2vx07famecw,yes,5254984506322
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,no,56343687533528
drep1j9lhu5vjeetyx5g6caty4z908e47c0jmmd4747x0et7lu4506zv,yes,166478826143
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,968794314632
drep1gts2npdk6qyu2cmynyz583qffxnekzpsylz746jmk3epuwtmrhd,yes,3312207496
drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,yes,55718534526905
drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,yes,66300445108571
drep1qxykkykelgunkphfh4krkwevdk55qky0m8zwe5qnr7gfwum9g8d,yes,516671172169
drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,yes,51012249843
drep1l8ztrwklf9jzwq2n6fjqfhjxhfgj58x9cxd6wvnnvp37z8t3utj,yes,513548097545
drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,yes,26084546353782
drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,no,88878031189730
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2288855312287
drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,yes,217234139393306
drep1vavedgh6hdcwyuf8xs8nrm8l05mhsy4fj5vck9qry8rfze8l5fm,yes,32336537085
drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,yes,228236768222327
drep1u05yg5ttgkchzpwly339xrc026x27unxjd6vd7dv7umzj2xns0e,yes,9480229392082
drep1c6zslx9d0lzcndzcr4xafga30ekccv5pa93l6syy6mz8um0gj96,yes,687332323986
drep1sa9nnjjy4vkh64ln74zd4yj6dc3njv0sepz9nf4g97ctq8qfjpa,yes,3254155370812
drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,yes,189769491047
drep14t63upry4za808ashszv0ntcc8wu3h8zfyrtwgjzrnqnyxp3dlv,yes,44978659194
drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,yes,715747857725
