drep,vote,amount
drep_script1aw98eaf7xjd0j78gr3jvam7w5ev6q42ehq7rsn8e8rsv53f4tml,yes,212899098033
drep1t8hsjjvqh5lxp9p0ejsdh20wl2a6fc83u0l0asug8yhr6lgc03l,yes,27407822662
drep1wu2sq9w43gaxr8y7w65tf7s5t6vnr26u4x49qajz5xnhu3qlvtl,yes,75122224241
drep1tfv86z8swpdfhrfzvqcsy7850p0ag82ny4zlwa652pxv633pkf9,abstain,415934489052
drep1duuk53k72uyvgu6zzc5wewlquwvdrmfmvyluc6avgnlryuyqlqq,yes,34472544895
drep1j9lhu5vjeetyx5g6caty4z908e47c0jmmd4747x0et7lu4506zv,yes,169620067799
drep1gts2npdk6qyu2cmynyz583qffxnekzpsylz746jmk3epuwtmrhd,yes,120663667
drep1snffydy25ftca6suarpgeurvn295d92lr9g0nzpgh4mdumetfd7,yes,0
drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,yes,25380451032826
drep1slvssvt0tuxzfm4c5dx0zr6ql6v63a2d90m0m5e330jvjh4vvdt,yes,379692735258
drep1g5vnvd962qhxk9c6uqcedw93n8tvumpzvz22ne3fj4sjcacjmkx,yes,86685778254
drep1rjxfg29kfrdx0ts4frlkm9jmev4ke3t2h7trgnwq73hl556dsfj,no,918926808
drep1kxetjk2yxfzxv3r26rttvur3gngwxhfpzfe4a8vxzg92cwyeu2q,abstain,85177390351
drep19hs8fncjcm8h0hycjy90gv4xaa48tmapu7v22z22u42769m9m82,yes,5585179492
drep_script190xv8v32n43luhu9ag05s5mvcs6079lg4zghzyg3j9vlgle68y3,yes,21431411551130
drep1hz77guw64qrxzg768lmfee8xgpvxvtfacy5ujnm44gr7zrfzy8l,yes,59093977951
drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,yes,723649424855
drep1kmc0z6709rkr2vt2mnhsf2mz0qg8zazc0uxrdnfgx48qxuewc3s,yes,1580395354444
drep1taampxjr7zn0a89ple2yhlc0kr8tr4xqp5xu4v667v2lzac8rz2,no,224998921301
drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,no,167217188106
drep1elaryel264kl9yzsyrrnah5v9r92l97t5p6hkl27uqueclk2k9t,yes,353202342142
drep155cz0w692c98wgf46zq4cz8sg9z8ycdat3qd39egygz6k2yawm6,yes,12570957578851
drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5,yes,113662009402
