drep,vote,amount
drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f,no,279558394695
drep1t8hsjjvqh5lxp9p0ejsdh20wl2a6fc83u0l0asug8yhr6lgc03l,yes,30427089953
drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,yes,15855243357280
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,988978172720
drep18y3ch9fuefgt8ne87k9sjedm2y3pey5lcyzhpqkq02vujxntnxn,yes,16024350422
drep17h6rggykfz37srj63lkuah5rg9ed8tzwmwd2nqywl6u3yqvsasg,yes,33103667862890
drep14t63upry4za808ashszv0ntcc8wu3h8zfyrtwgjzrnqnyxp3dlv,yes,44990928536
drep1n4rhu5hvk4d6fv2h6dqc7wvx48mtgc3j7sudzx3nfqpz5cza8a5,no,234186425883
drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,yes,26511186268370
drep1j2q76kng7lmgm60pw7tq5ucesuw59gdkx8lt5z3h50puqnqcxwv,yes,0
drep1rjxfg29kfrdx0ts4frlkm9jmev4ke3t2h7trgnwq73hl556dsfj,yes,899278191
drep_script1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknj5wf0ec,yes,231000766710416
drep1jemjs67pzdu2f752qxrkcl8hl20yqkmpre46835nngtjxn7xqq6,yes,2387549914
drep1vlx2m8ymj0eug8g9w0n869r3mtn5k66avkjce2w2qrzx6hx8jje,no,0
drep1assw7l953xsy73ndy9sxmeqwy4yhr3gentgax7lcjynz7qkg5zx,no,1180681807476
drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,yes,62321534024416
drep1kwquh5nf00lfhxmxafd6y6pgc25fvm0d8xx2rtaymtpjgyjagzn,no,1458061149542
drep1m2k6dp66gr83chkff2fr6y76wgta5xx8umstphsrrsw9ylhcfha,yes,579603217533
drep17elhnlgrtesye6vteywxytju8daptqz989vh83kcdlawwm6pteq,yes,85936310444
drep1h3wz72hly530mwd07cnln59h9ztqlw3d6cl7fp30dc7n7f6zcj8,yes,384084720055
drep1y99u6r8vdexm854trlwt3svysy953tv7e855vs4rxvaqsqehclg,no,65452351195224
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,no,57041766863054
drep1zzuasedw4v7ctfdfvrsmr6surqxh78fuakxvdnztu0y4xnc8cmk,yes,3815634237725
drep1gm78qa2895ynwn4ekdxl678d5qq9cnfarvcxh6d37fhsy50j9vl,yes,70653834405
drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,yes,60669285598893
drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,yes,5545619550116
drep12zhz3cdfh9a898mpuftxztw4j45c26tnltz72gfr4f5tv7cd4lk,yes,5036615568133
drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,yes,48258007956691
drep16d4rhqgfjwe0flcd0wrdczj2tn0fh0xgte0q200ss58uvt96ssh,yes,128285872641
drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,abstain,309003255
drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,yes,39379551256956
drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,yes,58219835617652
drep13ws3rjsec7yp858an0h73l4aeeekr77hwz3yd6suwmyr2fzlapq,no,1252429886809
drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,yes,70784390452605
drep1j4llv3mhppzqvu39xzfwj6p26rysc5fd3nqzrpefly3vx3ya34a,no,286452346796
drep1g0g4ntlgxfnanvtqaa405y3ruszqyfhx46snptktzwg8xvtce0u,yes,10769091708977
drep1l46t0lcnllnlhya4e2zjvpwvdr07nfd2my3yuaa2azrkj2cw4jl,yes,324529800913
drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,yes,16270593910296
drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,yes,126336535380495
drep1k5unlp7snmuzkx3z7wwr0xtgc33sesuuf2aaxl0ramcazvulefk,yes,796777708566
drep1m7rzzk4ftvd02w872genpy6kzeyplhdyjeaw9kq3yhmzxtwnfu0,yes,20113064137312
drep1u632p38chcackajaw84rhsx7vpsxz4fcetee2tct8pyrgeftpr7,yes,3599658403821
drep1jjx7efq77a0gtx49h9vvtraq9prsp45u5q3qrah6vw7p5t2sx66,yes,3314718169503
drep1c6zslx9d0lzcndzcr4xafga30ekccv5pa93l6syy6mz8um0gj96,yes,688109055295
drep155cz0w692c98wgf46zq4cz8sg9z8ycdat3qd39egygz6k2yawm6,yes,12636647976656
drep176sktgzd9ggczd9jtqs9xn2ql5ygddayt3c423ckh6kp7rvdm2x,yes,5085921135
drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,no,5659600951153
drep1g2qjfxcxj6ewx3aw0nqh2lfcaq0at3a2wcusxgjmgrnuzph6ddt,no,276710656638
drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,yes,890486198828
drep1vhzjtaezsrc3f3llde8nyt9gcx6s3akmrl5hxg7xaqs9c379mvw,yes,316749294433
