drep,vote,amount
drep1w34scjn42tdn5n30pflygwc4hk8htlwcpd9ldkyk4ftvu2dvfw8,no,59575050624
drep1slvssvt0tuxzfm4c5dx0zr6ql6v63a2d90m0m5e330jvjh4vvdt,no,380407003311
drep17r90fhh5r7vcx2dxsyj06dtfc5jph8l9k7f0zdqf7z002zj2ckn,yes,38965654164265
drep197uw8vcnn85whye0yqqes2tps773a3dcncgtqek05lh623md0ta,yes,1781509319055
drep1t8hsjjvqh5lxp9p0ejsdh20wl2a6fc83u0l0asug8yhr6lgc03l,yes,30427089953
drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,yes,5659600951153
drep1wp585ps5n2hu8jy5j2cxuap6zzs9zvnnw8g5lru4u0rq2tzhg0p,yes,540537140064
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,no,57041766863054
drep1gm78qa2895ynwn4ekdxl678d5qq9cnfarvcxh6d37fhsy50j9vl,yes,70653834405
drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,no,89340278241086
drep1fgj46n9vvfyxg3q0qlcm3a6tf0vvjv9wuhkvrtcm35c0vrtxfky,no,1181168726017
drep1rjxfg29kfrdx0ts4frlkm9jmev4ke3t2h7trgnwq73hl556dsfj,yes,899278191
drep185r8rr6j9evjs984vnr7haf5cn3qw5w220usk23cxffvwuutaz3,abstain,226611066459
drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,yes,33001536222895
drep17pxh60vrch90fhqnj578064jka7hpuq6axx52g2qygjp7l0cyjd,yes,26007335366
drep1u05yg5ttgkchzpwly339xrc026x27unxjd6vd7dv7umzj2xns0e,yes,9480964984700
drep1gcw8ua25n6wswssjap75f5ecg4d4jzdnyrhcfeahep90w240qj5,yes,172571491726
drep1ju2udpph53uuaut4sy6ss46rs9595yeaqnxjsvsms5htkyup4cn,no,450000717743
drep1assw7l953xsy73ndy9sxmeqwy4yhr3gentgax7lcjynz7qkg5zx,yes,1180681807476
drep_script1tjulmrtfl2lu4x9p86r4dj9xw4tmpzec7v826cukmhzfzxns7fy,yes,687245438069
drep1vhzjtaezsrc3f3llde8nyt9gcx6s3akmrl5hxg7xaqs9c379mvw,yes,316749294433
drep1s369jcyjh4nk7ekvrte9fa20sdg32ujdphp7av8xyz7u223jsa2,yes,5776791387558
drep1rcpsmytwrcsq55vxpmtu3xamve042dzfa09e2q7pxpeh5nzf7s4,yes,196171819623
drep1lry887awjprgwkqqn0q2xktp4f2z3crjv00tn6ql5prlcaaf2ky,yes,1228998389
drep1xet3sscmgq2ma7d495h3yxj7uxpmfxq0ja5nspsqaus7k9ugq3t,yes,18863057718992
drep1pmy58hz70shnprfexg4z6ykfxnavtv5jdemvvl5yktydzml6wlq,no,2920544205385
drep1zprs0z7slm4suzns3zz0u2agqey5tdy08r32s3gtcqtlqye94tw,no,54554478822
drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,yes,216660967733610
drep1u632p38chcackajaw84rhsx7vpsxz4fcetee2tct8pyrgeftpr7,yes,3599658403821
drep16d4rhqgfjwe0flcd0wrdczj2tn0fh0xgte0q200ss58uvt96ssh,yes,128285872641
drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,yes,58175940863650
drep155cz0w692c98wgf46zq4cz8sg9z8ycdat3qd39egygz6k2yawm6,yes,12636647976656
drep1uygrv5qxyalmdgu0xdjh8ru6juae6426y6048fugyf97g4srzkn,yes,47598263642416
drep1a8ydjrvsp4m6zhykan6pmvsz4lerxf2ynacwlvyus3rc5c2m46x,yes,38184222167
drep16f203ahsan44w8xh65myl2j4k0pf8y9dsqkracyqtvwhy74judz,no,17506629237561
drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5,yes,118587946215
drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln,yes,5406183115549
drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,yes,15855243357280
drep1axjcgsgh9pc38sg4gnjgv2scpdzu5fjfkmg6pa5g9e5h7dkqusm,yes,940963691695
drep13tupcm5xg34kz7hq7cy7f67p2nszl6l0em2fjd4dp5kkgvyg6uw,yes,631333904599
drep160v90f47eeqscq9aglzh8qxv8plskgxjtj9qgplgsz0kwskskjs,yes,1077566000175
drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,yes,128068831524
drep_script1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknj5wf0ec,yes,231000766710416
drep1hvlx2cdu7ql8238dwhrjrncm43q3sl5hlmcmp24p0rcnzcwzcyd,yes,43529706139656
drep1g0g4ntlgxfnanvtqaa405y3ruszqyfhx46snptktzwg8xvtce0u,no,10769091708977
drep1qxykkykelgunkphfh4krkwevdk55qky0m8zwe5qnr7gfwum9g8d,yes,518735329257
drep1jemjs67pzdu2f752qxrkcl8hl20yqkmpre46835nngtjxn7xqq6,yes,2387549914
drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,yes,60669285598893
drep_script1aw98eaf7xjd0j78gr3jvam7w5ev6q42ehq7rsn8e8rsv53f4tml,yes,212033517852
drep1knfjmx50fh4vsyznaefn4xl49pg9wdy2a463sr457mj5u92jrel,yes,1124049680402
drep1ccxqz9g9udymkt23vch2akfukwupx0e9mwv7rw9de4prczd7hhn,no,20917229440095
drep1h6l2ea5sq7u62v0a4sf3ru4zu7knvwm6px4twp2hvz2azu54xhp,yes,254132757775
drep1y99u6r8vdexm854trlwt3svysy953tv7e855vs4rxvaqsqehclg,yes,65452351195224
drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,no,69033688442796
drep1nm3mpnnvtxvlmqt7lpnskm0clhtm7ngg4pm7qklv42j5qcvhhnw,yes,1016231324481
drep1yqmr09530yuehxdz2wca5setx03ps5tnxxrvzlgwmk3wswugxwh,yes,206782479611
drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,yes,25653811967291
drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,no,5545619550116
drep1gts2npdk6qyu2cmynyz583qffxnekzpsylz746jmk3epuwtmrhd,yes,3312846462
drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,yes,26511186268370
drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,yes,309003255
drep1k4h4cd5jknvcfeq5uuzqthpl7sdjxrwf9gn25tdk49qxyfhusgm,yes,279611033303
drep1u3rxedper54sd8jfmkudltyhjh7x4y2c0hvj6e3j7j26xqmslxl,no,638110601225
drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,abstain,229504308905148
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2574691693303
drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,yes,39379551256956
drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,yes,223048327636271
drep12wy5ruujw0tef4uxhqd23gae8dqfn0sqh4mxmsxnqpz578tn3m0,yes,18013578986189
