"pool_id","latest_op_cert_counter"
"pool16hphjcfga9jhk5j3rsgmys83kza983utn3zv9jwhjgpe2ah4j8x","9"
"pool16nf6e02gn5xee0g8ch4e33ch2yc87rastg6gjh3k4gmvsynhtep","1"
"pool16nqpka3rzeumeq40amf9w3mezl4mtqkyqk5myy9cfpmfugmjj2s","0"
"pool16sjj3ykqznw2pd2m2ug00k0fujtqsmq4amfeeewqzvk7622xetd","8"
"pool16u5m0skk4uzpzk90fmf40hpqf2zlgkkax05pqv776g6kkzlayce","2"
"pool16y556gh885fw5nky8f8qmfwjeer7l8d2wjr8cl7f5vd8x7zgh0d","0"
"pool16z5ej7zasdtuljm8r0s5k8pszdm8r7argy7aq0v4czv05kyez76","30"
"pool178q9xf62yr0rkkgrx6lxwk7h0md4ms3jamc8j206q0r5xr3qc8l","1"
"pool179ekyc5t6q3r9cgjrg9p7fcmzvchg0fvk4edlx7wfhamk6d77jt","0"
"pool17mjyyv0lwc4gzta38l7exhg0yc5fh6n94rfk89qt3wnp63n9a3w","6"
"pool17navl486tuwjg4t95vwtlqslx9225x5lguwuy6ahc58x5dnm9ma","7"
"pool17njlrn0jgdw626utskz0zmrnduz9ra8d3al6aw5hvszxkx88q2r","1"
"pool17wdfwsyksx7femcxzx7ycf84maqvdf3fmr7z92h2xguy7eanvdf","14"
"pool184z675kh64r2eukvkmuf0jfrq8kr8vkvx5h7z92cjwuz2e56yps","1"
"pool186vjd495t73gda7k5skawcxkv27enw9ltdk3gevu94s66d4k3lj","0"
"pool18800lgwlelse96swl6e7n0xes7qeqcnlkkgweq0njrxk66zlj9a","3"
"pool188a03x468k4t908x265knzc29sz7v7wqlvmqaehrk34vkll3e2h","3"
"pool18ccrdt0hyj6vd9qwzfwttp2dsq0yqxk03h8nvswecr8yctuynt3","0"
"pool18cq0sr4ryw4t63hvgmdp00z7f8h3hgxef0gjldsgk6j75ajza6y","12"
"pool18cuytytnuv80xud9zp72xs6tq2u0deafuwzprshl6w6ykgp847w","0"
"pool18h29r8ndyj50q69a5ehxl4wlgm00snh29j0x5rdpgxfc7n8r4qw","1"
"pool18hwjam5x249ay9n0tzcxs3elwdr5xkrxplk64kfnwyhhz7a6u40","0"
"pool18krc6m5vmyrqy76t3eukxrrawerce4klm3s9wsdkagsss9mrcj5","0"
"pool18pn6p9ef58u4ga3wagp44qhzm8f6zncl57g6qgh0pk3yytwz54h","10"
"pool18r62tz408lkgfu6pq5svwzkh2vslkeg6mf72qf3h8njgvzhx9ce","4"
"pool18r83yx884z3jqkccp9rxwhmd6jn6ejdqp95xr3j07slp6est6wp","0"
"pool18ttg8kwe7w858sdk8rcw08cujytn6vjvpsc9t9c64n6h27wza2u","0"
