"type","voter-hash","vote","voting-stake"
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","Yes",277999467527
"SPO","f0e3c8d48efb750cdf256b68babc880787bc688972acfbbee1ffc537","Yes",284927303171
"SPO","ec736597797c68044b8fccd4e895929c0a842f2e9e0a9e221b0a3026","Yes",13248128527415
"SPO","ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23","Yes",9959681312986
"SPO","e8e00995c7f3820fedf01e75a443c56e20f96ddcf9168b662ce2fdcd","Yes",2432652958722
"SPO","e40edb5a243c9ef00296860c6b7c8272fd5923ac52b5050d68e80d9b","Abstain",20954215265712
"SPO","d058aaaeea58887b79ecb57708d1694bd323276a6b54185bd86415e7","Yes",35031695623233
"SPO","c825168836c5bf850dec38567eb4771c2e03eea28658ff291df768ae","Yes",32344623180508
"SPO","c5c43637ce16dc7e2619be1733a769f63aaf193e6e93458479eafd63","No",2130045224469
"SPO","c1cadab46b74defa9f79b59b617fe2a50bdbce6b367e472b6109a7bc","Yes",37099352345748
"SPO","bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab","Yes",6462806991812
"SPO","a803d6a5b213b52b38c4d7b97c934b904810c36e40a9d7260670d618","Yes",199193959974
"SPO","9f857159422300472655f6a15358b779853c4011f574569f04447df8","Yes",36118889
"SPO","96553a437b99271fdcaa30c279e432224342e88147741db73872f03c","Yes",1574297205268
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","Yes",1355010935164
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",12914573045771
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Abstain",1771734493320
"SPO","7e7eb329d995759d2b9fdb85b8d0c9e3fa2e57c460641c8fc875e780","Yes",8186651526118
"SPO","7c81fb493350d7fc6ae12d027b56efade2d4edb844d1dd736e0a861e","Yes",504167539419
"SPO","6a4a39566f5c45f0f6de34ef5e674b892e517ddeebd4eafcfd8583ef","Yes",4620419763968
"SPO","6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4","Yes",53800543308113
"SPO","54a7cf8a1e91ff0b72a3577c0d2f39d2d7ad1fca63ae0b9e4662053d","Abstain",44465587564376
"SPO","4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7","Yes",2972877883467
"SPO","4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af","Yes",71127936500591
"SPO","33804ceb7f4add2479faee0544c802f2369a81a4c94a284bef8f6a3e","Yes",2851305496636
"SPO","2412ac3192e68fa6179ca3a84cfcb080a7007e7a8c4958dc9c2c4d72","Yes",316147380
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","Yes",29548791252655
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","Yes",737377406555
"DRK","fcc1946fe92b7f27a8b21d6639bffc72be07157b2745ef204d7467c0","Yes",238114727040
"DRK","f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f","Yes",42597920
"DRK","f5f434209648a3e80e5a8fedcede834172d3ac4edb9aa9808efeb912","Yes",232160244306
"DRK","f31c5c7c3efcd8a0480b99b4766f449261f0a32e08c1dad8c8f0f761","Abstain",520432285576
"DRK","f0ed00410031f3288d7889aa896cfdad79a7441885d3bae8982ac151","Yes",104772384
"DRK","eecfc8a6aaee8257c75992d918383e4100079e3d24946ff80c32043e","Yes",366863450
"DRK","ec547651033d75540717912858b36d86977b572281a2cdad9d0826b7","Yes",4828543811
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","Yes",370842888919
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","Yes",302179024290
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","Yes",55294478547
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","Yes",16885049106500
"DRK","dd70f2c717eb5a7153d2753b6cce713e786da1ffea2e9769505b185a","Yes",43728544442
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","Yes",1088852852
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Abstain",101020736874
"DRK","da7cba6189cc2a574546a24746b961405c62eabe0818c54b3e001108","Yes",5002113542949
"DRK","d85bac1ec8fa9ab93509c6a89ee3c567cde2fe1fc18a7455322ad85d","Yes",1445179761
"DRK","d6918668ec1de20da3211b046b48130e29da4f82e5346e9d3de11a46","Yes",379391985144
"DRK","d3d857a6bece410c00bd47c57380cc387f0b20d25c8a0407e8809f67","Yes",112641534551
"DRK","d39faca15484a2e644dce5450bce70a07d73a0ccfe9a4f512de86819","Abstain",17893241775
"DRK","d33da6bc4ad754e5f7d44d7eb7ef655ea40f539dd7840c0a8760ad59","Yes",8705987462844
"DRK","ceb1cc47cd31327f642216f090434b8aa1acb0aaac83aea3bef4b7b6","Yes",704355517
"DRK","ccb1dbb55ed9bd1553b22cdbd79914e11a39a0c8c1c4770d62d7f135","Yes",229157239019
"DRK","cc37fee8a4bca7120ce97b852213aff16aa09999c8e35809c5e00444","Yes",6027104589
"DRK","bf7cf9d35407a66f2744f1dac876bb2bee5e2bb7e04b6c606384d055","Yes",1091215963538
"DRK","bc094a622f7c0d0b6c0f64200404fceddd7c3666365822436df205bc","Yes",1504854520668
"DRK","b6f4547ad049d7443ee5695761e1aa5e446cfccf72c7ed0d8ad8edfa","Yes",18879634388107
"DRK","b5393f87d09ef82b1a22f39c379968c4630cc39c4abbd37de3eef1d1","Yes",96529449197
"DRK","b504dbaab6de1a99cff4792682afd38c6c0aed226e563bc430530cff","Yes",587001872099
"DRK","aff45cba7bc52fae256de95178476ea96ede79c58e4bdfdc46c582f6","Yes",123602281299
"DRK","a865b3916bd1d4eb06b2c650d928991db042f54f3658c0fb8dfe1af4","Yes",15083521638380
"DRK","a4d8e2b7421eb6f3b438b58d56c51a687f8a32fe25f36249cf601fe8","Yes",525534058804
"DRK","a4a01438f9e942e8b9e97101ddabeea1f9f7785a05c670139dbfa4f2","Yes",2500242205944
"DRK","a2eb55da4abbcde0aa67cbb89bd530b7a95eb7e95cd03ca448150fe8","Yes",42861676223
"DRK","9ee3b0ce6c5999fd817ef8670b6df8fdd7bf4d08a877e05becaaa540","Yes",232686975895
"DRK","9b3849ebed96676c4e4d7be805fb4446cdc650cafa87ddfb3c6d7847","Yes",548609180842
"DRK","961280acc591f45916461b88c64bedc705a44994707c88aad1210148","Yes",29940843360
"DRK","94f7bb25c15f5e4e3a58bb9e8e6b10bfa8c2694f39f282167af35e2c","Yes",13275641393332
"DRK","948deca41ef75e859aa5b958c58fa0284700d69ca02201f6fa63bc1a","Yes",533961831991
"DRK","937271ae3cb948e545d6224e219cfeaf148783bccd5a7d3d2e69bc81","Yes",3573019965859
"DRK","8f1d5d6c1156a9710407d524789eebf42ef20bbd75ec858d53b7bfcf","Yes",2374574691095
"DRK","8b75035882d4165bea8000c4d3f2c123ae33c1d92a751a78135a2402","Yes",25686107100234
"DRK","8af81c6e86446b617ae0f609e4ebc154e02febefced49936ad0d2d64","Yes",345182294163
"DRK","87d908316f5f0c24eeb8a34cf10f40fe99a8f54d2bf6fdd3318be4c9","Yes",551644554
"DRK","85cf550b3c0cb19b134021b1cf81b086bdfc10bed9bdd00be5cc6d18","Yes",20171075705
"DRK","7fb353bd8fad7aa1ca5321cc8d1992e0c2819ac8f513494d3d8d1ae8","Yes",11491640907
"DRK","7b47e6a1de9ec2d613a1eb25f2e4e17050940a73ce1144dbaa975b4e","Yes",12226631964
"DRK","70687a06149aafc3c89492b06e743a10a051327371d14f8f95e3c605","Yes",156196008082
"DRK","6f1257494f7fa41389aab2ad7068a1092ce068e2804ecb4219fbbb2a","Yes",1928199236327
"DRK","6c8a0c80777f9e4dc043dabc48e8391c7821a5b42c850be268cf1a51","Abstain",1233894148080
"DRK","6c50e19fbaa47dd7a226a15d46313b2b088045b1fe2169f4015d7d08","Abstain",2756479227
"DRK","5f0fd8cb95ac1f0eb2d86ed3f8e6437a1ca30b15cd649d2ab1f1e925","Yes",5711700068
"DRK","5a9828fc7753246c76eadb9b2fe21b2fd5636c04afc179efcbebbeb8","Yes",2329905043579
"DRK","59d018364aebf5ddff693741df1679a47cd33ce8f26eae3be8d68d14","Yes",22017106611
"DRK","58ef68bf4f9140d6e67e3ea49e466e3896e0009475c7ccb986258736","Yes",9998572859150
"DRK","57838a1e44b12af4b33083f155c8d61cec93afb1827eb66ea159020c","Yes",14375062532494
"DRK","53f6a8fad05efc1111cca4dcb96ce891dbfa52459f02efdba117bdb4","Yes",592464903479
"DRK","529cd2db85928195b06a99c804a3a1d9d4f20be6be93d29e2e2857a2","Yes",446663742
"DRK","486aac40d5d3ca394f9d54323f983ae16ee674f655922c4eb889e659","Yes",409706985505
"DRK","44270cf214e6f56c590b21a216758a8b985841411126deb9728f0107","Yes",4561763573
"DRK","426d5a97aee15433731560fd5027178f693d2261c24d7c52123f964b","Abstain",267485265367
"DRK","3e34d73f3a117e6d512a5086247de2a96553da255acc0b541ab9691e","Yes",1315795643423
"DRK","3d65580e7a2f7a0e3de33a25de03ba9e6f5778ce124594be1775e284","Abstain",1900222789
"DRK","3d06718f522e592814f564c7ebf534c4e20751ca53f90b2a383252c7","Yes",152217176247
"DRK","3c6c1024db32d6be735231388aeebb14d552695e78681479a77d22fb","Yes",81093265672
"DRK","38e11859d2a1f8dfab9eccb4ddaf730ad9d7495aba8234876542ad19","Yes",261638079044
"DRK","30a2cd857800b4f80ef869903a70c376cb538b9f3e5e8d3b2e6df717","Yes",39826485810
"DRK","277cd67f405d43ab611676d1d82678ffc086b9996c0a742a8a30a2e5","Yes",73313030965
"DRK","2775713575b07fb5093385e18b88ec76792c19714d7a2233a1fdb469","No",1822010126861
"DRK","264d012dd8f2b1cb891887ab0fca9017d6b41d2bf11d7b901fd0497e","Yes",689882433539
"DRK","2408fb0afddd9586244307e8fe4d322cad65092932fbdcd05bc44b88","Yes",3206352508
"DRK","228fabcdd2b1a034554a7a42dadc591d6540ce542ec0d7a734a197b1","Yes",126661829503
"DRK","2052ba04a96e5611a844f09ce2ca33b734133f5875a0b102fea42d46","Yes",1022193357240
"DRK","1f5ed39f09ace870ae22691a6dab5305021b0c0703b872aae6389cce","Yes",125806588831
"DRK","1dac6bf2cda83cc5a0ab36b0cf2007d98c3308760fff225f901a9ebd","Yes",2265917831190
"DRK","1d0c5a0a22df3ed5200e1a404de9e8f34654e47ee489a915f1ff331d","Yes",50100082836
"DRK","188d57e4b578ca7d4046077656328082a59ffd14963d35139ac9372d","Yes",168567057680
"DRK","188803d92cb29d626d92d0ee65af3f1b87621f7d6ab02d5bb2cdd625","Yes",2298445375363
"DRK","12e7d0d68c2dc9709bf30ee7aeb0cc7b19961bc24dc4b6847c31fd46","Yes",1164203633
"DRK","00aa5e6d5aeec08d68cbc2edb5186a450ab2cbe3c4cfe7944b8ef0f1","Yes",402500053736
