"type","voter-hash","vote","voting-stake"
"SPO","ff069b3ecf738d4adfe83f7c20c64b82f94f7285ee41eedb2bfd297b","Yes",21456387766760
"SPO","fdc55442d4c89bfa42bb62ac640ed710afd6eb79531e6dbb8459eb46","No",59127429072445
"SPO","fb21d3e5ed7684742936778239a7bed2bcee1292964ddeb716d3a903","No",61392055953896
"SPO","f7bc66350f611b20f8f86e123d8780928ee8cf9d827d72f549d61b51","Yes",202615944725
"SPO","f218d7c550fecc856bdf09c6ec12d64f68a59b6727f29bedb06d88b1","Yes",680831930771
"SPO","ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23","Yes",9916125098958
"SPO","d8cc8d4198e23dbc5685c6682e6ea06e82fbd93879e42086e64ccc21","Yes",292326735489
"SPO","d61ab012cf4b0c24daf2447309638b25573f85b0a7e4ffdb60db9b22","Yes",1802413177962
"SPO","c825168836c5bf850dec38567eb4771c2e03eea28658ff291df768ae","Yes",29939694315850
"SPO","c5c43637ce16dc7e2619be1733a769f63aaf193e6e93458479eafd63","No",2127496337780
"SPO","c2b8bff5160dd75149f2cae0955698550e8cf0d390025b26a9508a3e","Yes",1118969193901
"SPO","bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab","Yes",6500997574524
"SPO","acfdedecd7d754d2d9f4977626ba0e82ba465892c9f98f7f2d2d0e1d","No",4474765037551
"SPO","a10865dae2d543ee9f13e98bff70ea81565bb6e4343b15b765f78174","No",76646267577145
"SPO","9fa14b049b735e287da702a2b0a7c2a6612e81db9cc4284339a6a2f1","Yes",3483032941310
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","No",1357575704964
"SPO","91e34a10c60a797011bdafc723e0b86a2fdecd11731c8c9e403cfe6e","Yes",1384764250102
"SPO","90a9f94272aa45bb1eb27bb0e2fda43eb4d9bfd31010ab2c9c249896","No",32533050804829
"SPO","903e554b27f6c66a2032bedc3d74fdf6b58b2f09a05e13b9af71807f","No",4888145158547
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",12924660774082
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Yes",1443871930055
"SPO","88eb9f2d6bc1835026154016c7dc54b54e06dee61c2c238643969202","Yes",5362429113170
"SPO","8857ee40b59bbc752e8cab4e5808e204cf7c4ce338fd7b86f4db0cc6","No",13887252413673
"SPO","881b67128439e781d00190ee7ba1692d5af13aaee5d1914911bb3e42","No",74120786504471
"SPO","87190b7553a1ee0300420382e8d2877f94cb6e687cb221217f84b4aa","No",2118379681507
"SPO","68d8505aea5a000e630f904f8741c1deec9135a729e5df770fe3b659","Yes",2496302157184
"SPO","64a4392e99179be25e27a31a6f9e3b31111d761e3d301a7e8f6e9d09","Yes",88740369042
"SPO","41996c3e9ed67d47ea81a59f8831dbc948a00f296d11dd6a6678b543","Yes",5893906962595
"SPO","34ae2462f0fab1866281947a022d85bddf29f45a8b9699baabbbfcb9","No",71474072418512
"SPO","2ba96bc27be2bdde3ec11b9f696cf21fad39e49097be9b0193e6b572","No",62363385155647
"SPO","263498e010c7a49bbfd7c4e1aab29809fca7ed993f9e14192a75871e","Yes",32700950471332
"SPO","2412ac3192e68fa6179ca3a84cfcb080a7007e7a8c4958dc9c2c4d72","Yes",501596811
"SPO","1e9a280b52e5157467f05e5231e7f521d3022cf8b14084b19beed138","No",12907438701
"SPO","1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5","No",64460763754768
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","Yes",29371839704237
"SPO","153806dbcd134ddee69a8c5204e38ac80448f62342f8c23cfe4b7edf","No",73625429290888
"SPO","0df0f6e5a3191520aa0a58268c38fe608d1d931766fc006635f3f2b1","Yes",110897598037
"SPO","0a423fa44f23b13cba59474427d11746136672af66b2d80b4499dd1d","Yes",29966099739820
"SPO","08453273401b3ee2f380ec570f8c926d5f3bd3522337d03b566a6b61","No",43550507584780
"SPO","040d79b06f8ad1a94bd8fbc9eac9ba8ccf44a332d9d7f003d85f9393","Yes",310390554778
"SPO","00000036d515e12e18cd3c88c74f09a67984c2c279a5296aa96efe89","No",68711418551920
"DRS","5f14b5b5cddb0839df02696194268ef48673836d7777a7c05ffd2f3e","Yes",425439531160
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","No",5086715024395
"DRK","fb20ff3ccbcfac9e4e7b32b4ffcf0748f5a1879e309657a44582b39a","No",67002087646
"DRK","f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f","No",18545284
"DRK","f5f434209648a3e80e5a8fedcede834172d3ac4edb9aa9808efeb912","No",267616637946
"DRK","f31c5c7c3efcd8a0480b99b4766f449261f0a32e08c1dad8c8f0f761","Yes",625689122615
"DRK","f0ed00410031f3288d7889aa896cfdad79a7441885d3bae8982ac151","No",21567323591
"DRK","f040fce92719b564369095bab8495548ad324529dd2ae19cf4e61411","Yes",786264586687
"DRK","ef99796c601eb47571ff919d02afe74727a81bdfe81e08481bdf06bd","No",60629134186
"DRK","ee147b12e224c7f014ce3f8e731f9c599a9b87ec951fbaf62b7727ba","Yes",229628236981
"DRK","e9a96e9080ff7f13cbe437b3106485d4968758710fb73f4ee45a60fa","Yes",60040134000
"DRK","e8de1ff7b6587760fe9dcf76135b7932cccba34e48e91a909921fea9","Yes",561231155394
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","Yes",372806494996
"DRK","e6a2a0c4f8be3b8b765d71ea3bc0de6060615538caf3952f0b384834","No",1060657762164
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","Yes",328676924506
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","No",321470498337
"DRK","dd70f2c717eb5a7153d2753b6cce713e786da1ffea2e9769505b185a","Yes",43916183129
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","Yes",1090275721
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Yes",101517169055
"DRK","da7cba6189cc2a574546a24746b961405c62eabe0818c54b3e001108","Yes",5008968760495
"DRK","d3d857a6bece410c00bd47c57380cc387f0b20d25c8a0407e8809f67","Abstain",120418858474
"DRK","d33da6bc4ad754e5f7d44d7eb7ef655ea40f539dd7840c0a8760ad59","Yes",8672250698362
"DRK","cf463d781631ff7647ac2487e3ef2176864ef3ed32f6b8f6d0a0800f","No",78510085007
"DRK","ceb1cc47cd31327f642216f090434b8aa1acb0aaac83aea3bef4b7b6","No",705293547
"DRK","cc7559aea43dd0959f226897ca5f3b46459d87f2837b840d17c6a5a4","Yes",26527061954
"DRK","cc37fee8a4bca7120ce97b852213aff16aa09999c8e35809c5e00444","Yes",6032647175
"DRK","ca647bef6fd06947e4cbb7368860a38528a6b3e41b60a7a59f849ac2","Yes",909204984287
"DRK","c99a849cbd046186b39c7d393a5a684a25de51973b6bf2f952ea3e0b","Abstain",1012304160362
