"type","voter-hash","vote","voting-stake"
"SPO","ff069b3ecf738d4adfe83f7c20c64b82f94f7285ee41eedb2bfd297b","Abstain",21580492563413
"SPO","fcbfb4a3c18f890de7a51f68603b18e654f8b432abdda17c53a0d586","No",15096907589966
"SPO","fb21d3e5ed7684742936778239a7bed2bcee1292964ddeb716d3a903","No",62448831682169
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","No",280304377598
"SPO","f1b265f1e545da9c6e003c5d703fb5a23283c646cd40b2d619671e7f","No",18731501614461
"SPO","e8e00995c7f3820fedf01e75a443c56e20f96ddcf9168b662ce2fdcd","No",2459379438608
"SPO","dacf06a23e4aaf119024e63deb79861ca175b24e7d44d97fb92b1a22","Yes",36488175369845
"SPO","d61ab012cf4b0c24daf2447309638b25573f85b0a7e4ffdb60db9b22","No",1475076094674
"SPO","cdb10209d937fc1559c635e35b9147febde5307b4a7d276f868775cd","No",74030691203393
"SPO","a95b4f891edea1c877954d48968968b2c91a80786858d89110caf7f9","No",31460624340030
"SPO","90a9f94272aa45bb1eb27bb0e2fda43eb4d9bfd31010ab2c9c249896","No",32632679758602
"SPO","903e554b27f6c66a2032bedc3d74fdf6b58b2f09a05e13b9af71807f","No",4769011819022
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",11896476112794
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Yes",2138355949213
"SPO","8857ee40b59bbc752e8cab4e5808e204cf7c4ce338fd7b86f4db0cc6","No",14320506954168
"SPO","7e7eb329d995759d2b9fdb85b8d0c9e3fa2e57c460641c8fc875e780","No",8091922362541
"SPO","7113de447fb62c38e3e3aeec434cac6fc76e05e997b84227e9c637b8","No",21795107538644
"SPO","6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4","No",53719655131126
"SPO","660f2b816e90e4e826daebf33357d76ab89414f88d57dd7d9f7898fe","No",1922752546718
"SPO","5b5804135b07be6f3635a655ed1b68ddef1854523b45cd1840a6fc33","No",60840147604477
"SPO","538299a358e79a289c8de779f8cd09dd6a6bb286de717d1f744bb357","No",2263019708960
"SPO","50e113d1ada46a83a16d5ee6cfdc1a8baed6634c9f046ed30131eb11","No",17467403273840
"SPO","4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7","No",2955633389873
"SPO","4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af","No",71540697177798
"SPO","4690a6bcbfc9eedd4d8595c9d665cd9b8ebe3e6d82ebf0120d7bc7c5","No",4401725616332
"SPO","21cb022b2557aec62f5a74f96350d398fa31186ba53240ad7d7466fd","No",1137219155955
"SPO","1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5","No",64602933695463
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","No",30010138482842
"SPO","08453273401b3ee2f380ec570f8c926d5f3bd3522337d03b566a6b61","No",40578918215115
"SPO","07ac7dee6c82177096b70ccf21cfb8965c1fb08e079f9ca4af4b2b3e","Yes",20807131128726
"SPO","052100e65f3fa89fe1e2d3ae521446b2013b3c91ef5c7961e1b1a1ac","No",703667766828
"SPO","00000110093effbf3ce788aebd3e7506b80322bd3995ad432e61fad5","No",28572661135968
"DRS","eb8a7cf53e349af978e81c64ceefcea659a05559b83c384cf938e0ca","Yes",134534725640
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","Yes",2199109823
"DRK","f22c9cfc562c577027b0cfe0192a5cbd1d642c00cf8cdba635e84a66","No",6206037565
"DRK","ec20ef7cb489a04f466d21606de40e254971c5199ad1d37bf891262f","Abstain",401984620663
"DRK","ea5c150980ee98f05f7f48e78dc4b5c1086f1aed897777df23397fad","No",38913013165
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","No",368888949402
"DRK","e5abf58a2f065d22fca6f86f021c80fd2ea52a45924659e9e0f49398","Yes",11651544527
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","No",17873540156
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","No",14389082961094
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","No",84488147
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Yes",95700821093
"DRK","d3d857a6bece410c00bd47c57380cc387f0b20d25c8a0407e8809f67","No",107368975590
"DRK","d39faca15484a2e644dce5450bce70a07d73a0ccfe9a4f512de86819","Abstain",17882674915
"DRK","d33da6bc4ad754e5f7d44d7eb7ef655ea40f539dd7840c0a8760ad59","No",5063552287485
"DRK","ceb1cc47cd31327f642216f090434b8aa1acb0aaac83aea3bef4b7b6","No",733987095
