"type","voter-hash","vote","voting-stake"
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","Yes",277999467527
"SPO","ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23","Yes",9956443544240
"SPO","e8e00995c7f3820fedf01e75a443c56e20f96ddcf9168b662ce2fdcd","Yes",2438849837070
"SPO","e40edb5a243c9ef00296860c6b7c8272fd5923ac52b5050d68e80d9b","Abstain",20955038431997
"SPO","d058aaaeea58887b79ecb57708d1694bd323276a6b54185bd86415e7","Yes",35311939096169
"SPO","c825168836c5bf850dec38567eb4771c2e03eea28658ff291df768ae","Yes",32803607352469
"SPO","c5c43637ce16dc7e2619be1733a769f63aaf193e6e93458479eafd63","Yes",2129641828708
"SPO","c1cadab46b74defa9f79b59b617fe2a50bdbce6b367e472b6109a7bc","Yes",37008204909802
"SPO","bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab","Yes",6460275691695
"SPO","a803d6a5b213b52b38c4d7b97c934b904810c36e40a9d7260670d618","Yes",199194136431
"SPO","96553a437b99271fdcaa30c279e432224342e88147741db73872f03c","Yes",1572525089652
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","Yes",1352752475252
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",12790497231302
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Abstain",1767569537594
"SPO","7c81fb493350d7fc6ae12d027b56efade2d4edb844d1dd736e0a861e","Yes",504167539419
"SPO","6a4a39566f5c45f0f6de34ef5e674b892e517ddeebd4eafcfd8583ef","Yes",4636563661631
"SPO","6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4","Yes",52721311178301
"SPO","4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7","Yes",2973486368316
"SPO","4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af","Yes",71145906365434
"SPO","33804ceb7f4add2479faee0544c802f2369a81a4c94a284bef8f6a3e","Yes",2850720955845
"SPO","2412ac3192e68fa6179ca3a84cfcb080a7007e7a8c4958dc9c2c4d72","Yes",316147380
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","Yes",29691350767748
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","Yes",737134905126
"DRK","fcc1946fe92b7f27a8b21d6639bffc72be07157b2745ef204d7467c0","Yes",237518861378
"DRK","f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f","Yes",42597920
"DRK","f5f434209648a3e80e5a8fedcede834172d3ac4edb9aa9808efeb912","Yes",231738519280
"DRK","f0ed00410031f3288d7889aa896cfdad79a7441885d3bae8982ac151","Yes",104720542
"DRK","eecfc8a6aaee8257c75992d918383e4100079e3d24946ff80c32043e","Yes",366863450
"DRK","ec547651033d75540717912858b36d86977b572281a2cdad9d0826b7","Yes",4487854035
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","Yes",370372501963
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","Yes",299888337645
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","Yes",8198631558
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","Yes",16708911632037
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","Yes",1088530181
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Abstain",97307445218
"DRK","da7cba6189cc2a574546a24746b961405c62eabe0818c54b3e001108","Yes",5001379013454
"DRK","d85bac1ec8fa9ab93509c6a89ee3c567cde2fe1fc18a7455322ad85d","Yes",936921815
"DRK","d6918668ec1de20da3211b046b48130e29da4f82e5346e9d3de11a46","Yes",78835126257
"DRK","d3d857a6bece410c00bd47c57380cc387f0b20d25c8a0407e8809f67","Yes",112598523358
"DRK","d39faca15484a2e644dce5450bce70a07d73a0ccfe9a4f512de86819","Abstain",17892293393
"DRK","d33da6bc4ad754e5f7d44d7eb7ef655ea40f539dd7840c0a8760ad59","Yes",8480045884995
"DRK","ceb1cc47cd31327f642216f090434b8aa1acb0aaac83aea3bef4b7b6","Yes",702957434
"DRK","ccb1dbb55ed9bd1553b22cdbd79914e11a39a0c8c1c4770d62d7f135","Yes",22530048500
"DRK","cc37fee8a4bca7120ce97b852213aff16aa09999c8e35809c5e00444","Yes",6026647127
"DRK","bf7cf9d35407a66f2744f1dac876bb2bee5e2bb7e04b6c606384d055","Yes",1091842468028
"DRK","bc094a622f7c0d0b6c0f64200404fceddd7c3666365822436df205bc","Yes",1395435274973
"DRK","b6f4547ad049d7443ee5695761e1aa5e446cfccf72c7ed0d8ad8edfa","Yes",17348325593913
"DRK","b504dbaab6de1a99cff4792682afd38c6c0aed226e563bc430530cff","Yes",586520424231
"DRK","aff45cba7bc52fae256de95178476ea96ede79c58e4bdfdc46c582f6","Yes",123378157912
"DRK","a865b3916bd1d4eb06b2c650d928991db042f54f3658c0fb8dfe1af4","Yes",62881324885311
"DRK","a4a01438f9e942e8b9e97101ddabeea1f9f7785a05c670139dbfa4f2","Yes",2486794530977
"DRK","a2eb55da4abbcde0aa67cbb89bd530b7a95eb7e95cd03ca448150fe8","Yes",42943277704
"DRK","9ee3b0ce6c5999fd817ef8670b6df8fdd7bf4d08a877e05becaaa540","Yes",227663417931
"DRK","9b3849ebed96676c4e4d7be805fb4446cdc650cafa87ddfb3c6d7847","Yes",531402181022
"DRK","948deca41ef75e859aa5b958c58fa0284700d69ca02201f6fa63bc1a","Yes",530947002242
"DRK","937271ae3cb948e545d6224e219cfeaf148783bccd5a7d3d2e69bc81","Yes",3412928556085
"DRK","8f1d5d6c1156a9710407d524789eebf42ef20bbd75ec858d53b7bfcf","Yes",2401312608106
"DRK","8b75035882d4165bea8000c4d3f2c123ae33c1d92a751a78135a2402","Yes",20020493465644
"DRK","8af81c6e86446b617ae0f609e4ebc154e02febefced49936ad0d2d64","Yes",345144109241
"DRK","87d908316f5f0c24eeb8a34cf10f40fe99a8f54d2bf6fdd3318be4c9","Yes",551445827
"DRK","85cf550b3c0cb19b134021b1cf81b086bdfc10bed9bdd00be5cc6d18","Yes",20170501584
"DRK","7fb353bd8fad7aa1ca5321cc8d1992e0c2819ac8f513494d3d8d1ae8","Yes",12379227947
"DRK","7b47e6a1de9ec2d613a1eb25f2e4e17050940a73ce1144dbaa975b4e","Yes",12224443010
"DRK","70687a06149aafc3c89492b06e743a10a051327371d14f8f95e3c605","Yes",154878097584
"DRK","6f1257494f7fa41389aab2ad7068a1092ce068e2804ecb4219fbbb2a","Yes",1581645944092
"DRK","6c8a0c80777f9e4dc043dabc48e8391c7821a5b42c850be268cf1a51","Abstain",1235583371425
"DRK","6c50e19fbaa47dd7a226a15d46313b2b088045b1fe2169f4015d7d08","Abstain",2755738392
"DRK","5f0fd8cb95ac1f0eb2d86ed3f8e6437a1ca30b15cd649d2ab1f1e925","Yes",5709788192
"DRK","5a9828fc7753246c76eadb9b2fe21b2fd5636c04afc179efcbebbeb8","Yes",2339134244371
"DRK","59d018364aebf5ddff693741df1679a47cd33ce8f26eae3be8d68d14","Yes",22009885889
"DRK","58ef68bf4f9140d6e67e3ea49e466e3896e0009475c7ccb986258736","Yes",10015530183372
"DRK","57838a1e44b12af4b33083f155c8d61cec93afb1827eb66ea159020c","Yes",14220723471792
"DRK","53f6a8fad05efc1111cca4dcb96ce891dbfa52459f02efdba117bdb4","Yes",600976456859
"DRK","529cd2db85928195b06a99c804a3a1d9d4f20be6be93d29e2e2857a2","Yes",1074567799
"DRK","486aac40d5d3ca394f9d54323f983ae16ee674f655922c4eb889e659","Yes",44584768702
"DRK","44270cf214e6f56c590b21a216758a8b985841411126deb9728f0107","Yes",11113527868
"DRK","426d5a97aee15433731560fd5027178f693d2261c24d7c52123f964b","Abstain",266843475584
"DRK","3d06718f522e592814f564c7ebf534c4e20751ca53f90b2a383252c7","Yes",148096651343
"DRK","38e11859d2a1f8dfab9eccb4ddaf730ad9d7495aba8234876542ad19","Yes",260752707029
"DRK","30a2cd857800b4f80ef869903a70c376cb538b9f3e5e8d3b2e6df717","Yes",39810978120
"DRK","277cd67f405d43ab611676d1d82678ffc086b9996c0a742a8a30a2e5","Yes",73293800946
"DRK","2775713575b07fb5093385e18b88ec76792c19714d7a2233a1fdb469","No",1822753612519
"DRK","264d012dd8f2b1cb891887ab0fca9017d6b41d2bf11d7b901fd0497e","Yes",761693841781
"DRK","2408fb0afddd9586244307e8fe4d322cad65092932fbdcd05bc44b88","Yes",3205323341
"DRK","228fabcdd2b1a034554a7a42dadc591d6540ce542ec0d7a734a197b1","Yes",114758146975
"DRK","2052ba04a96e5611a844f09ce2ca33b734133f5875a0b102fea42d46","Yes",1021542502546
"DRK","1f5ed39f09ace870ae22691a6dab5305021b0c0703b872aae6389cce","Yes",126128703930
"DRK","1dac6bf2cda83cc5a0ab36b0cf2007d98c3308760fff225f901a9ebd","Yes",2265233977211
"DRK","1d0c5a0a22df3ed5200e1a404de9e8f34654e47ee489a915f1ff331d","Yes",50137403903
"DRK","188d57e4b578ca7d4046077656328082a59ffd14963d35139ac9372d","Yes",168564863778
"DRK","12e7d0d68c2dc9709bf30ee7aeb0cc7b19961bc24dc4b6847c31fd46","Yes",1165483070
"DRK","00aa5e6d5aeec08d68cbc2edb5186a450ab2cbe3c4cfe7944b8ef0f1","Yes",401094965637
