"type","voter-hash","vote","voting-stake"
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","Yes",278001155550
"SPO","f0e3c8d48efb750cdf256b68babc880787bc688972acfbbee1ffc537","Yes",284529837676
"SPO","ec736597797c68044b8fccd4e895929c0a842f2e9e0a9e221b0a3026","Yes",13260436750833
"SPO","ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23","Yes",9923108273576
"SPO","e8e00995c7f3820fedf01e75a443c56e20f96ddcf9168b662ce2fdcd","Yes",2432792075475
"SPO","e40edb5a243c9ef00296860c6b7c8272fd5923ac52b5050d68e80d9b","Abstain",20957280900154
"SPO","d058aaaeea58887b79ecb57708d1694bd323276a6b54185bd86415e7","Yes",34790735151946
"SPO","c825168836c5bf850dec38567eb4771c2e03eea28658ff291df768ae","Yes",32414665397982
"SPO","c5c43637ce16dc7e2619be1733a769f63aaf193e6e93458479eafd63","No",2130448509310
"SPO","c1cadab46b74defa9f79b59b617fe2a50bdbce6b367e472b6109a7bc","Yes",37089412675377
"SPO","bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab","Yes",6493287742069
"SPO","a95b4f891edea1c877954d48968968b2c91a80786858d89110caf7f9","Yes",30536207140124
"SPO","a803d6a5b213b52b38c4d7b97c934b904810c36e40a9d7260670d618","Yes",199192900836
"SPO","9f857159422300472655f6a15358b779853c4011f574569f04447df8","Yes",36118889
"SPO","96553a437b99271fdcaa30c279e432224342e88147741db73872f03c","Yes",1605319208887
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","Yes",1355372593384
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",12951310688950
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Abstain",1612965768699
"SPO","7e7eb329d995759d2b9fdb85b8d0c9e3fa2e57c460641c8fc875e780","Yes",8261223676058
"SPO","7c81fb493350d7fc6ae12d027b56efade2d4edb844d1dd736e0a861e","Yes",504570950188
"SPO","7862852ab4afc9ecf783ff074760ad2f3bf52669713ddd67d6794512","Abstain",7216644628723
"SPO","782310d6e6ab81cde977da3eef0a9f533bd255dadd30d01d33e0dde6","Yes",327696997119
"SPO","77b0a93c26ac65be36e9a9f220f9a43cbc57d705fc5d8f1de5fdeea1","Yes",70845523980030
"SPO","7113de447fb62c38e3e3aeec434cac6fc76e05e997b84227e9c637b8","Yes",21436631861582
"SPO","6a4a39566f5c45f0f6de34ef5e674b892e517ddeebd4eafcfd8583ef","Yes",4634520648919
"SPO","6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4","Yes",53669489718862
"SPO","54a7cf8a1e91ff0b72a3577c0d2f39d2d7ad1fca63ae0b9e4662053d","Abstain",44466074343713
"SPO","50e113d1ada46a83a16d5ee6cfdc1a8baed6634c9f046ed30131eb11","Yes",17370910290914
"SPO","4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7","Yes",2975938078638
"SPO","4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af","Yes",70955757976959
"SPO","33804ceb7f4add2479faee0544c802f2369a81a4c94a284bef8f6a3e","Yes",2853200976317
"SPO","2412ac3192e68fa6179ca3a84cfcb080a7007e7a8c4958dc9c2c4d72","Yes",316147380
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","Yes",29644460249537
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","Yes",737626971495
"DRK","fcc1946fe92b7f27a8b21d6639bffc72be07157b2745ef204d7467c0","Yes",238220521514
"DRK","f8d68d00c75e66d7bddc341f94536871b321e387851da112cff7ab43","Yes",20977278532
"DRK","f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f","Yes",42597920
"DRK","f5f434209648a3e80e5a8fedcede834172d3ac4edb9aa9808efeb912","Yes",232569033817
"DRK","f31c5c7c3efcd8a0480b99b4766f449261f0a32e08c1dad8c8f0f761","Abstain",528849808824
"DRK","f0ed00410031f3288d7889aa896cfdad79a7441885d3bae8982ac151","Yes",103287868
"DRK","eecfc8a6aaee8257c75992d918383e4100079e3d24946ff80c32043e","Yes",6689017
"DRK","ec547651033d75540717912858b36d86977b572281a2cdad9d0826b7","Yes",4829285233
"DRK","e72e836e014162918aed129f141250d5b46f1b0edfa3c4a58c2043ea","Abstain",822177881242
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","Yes",371385594551
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","Yes",303003742509
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","Yes",55451027606
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","Yes",17832494618019
"DRK","dd70f2c717eb5a7153d2753b6cce713e786da1ffea2e9769505b185a","Yes",43734018808
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","Yes",1089202511
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Abstain",101288031841
"DRK","da7cba6189cc2a574546a24746b961405c62eabe0818c54b3e001108","Yes",5005207442791
"DRK","d85bac1ec8fa9ab93509c6a89ee3c567cde2fe1fc18a7455322ad85d","Yes",1439931652
