id,tx_id,index,prev_gov_action_proposal,deposit,return_address,expiration,voting_anchor_id,type,description,param_proposal,ratified_epoch,enacted_epoch,dropped_epoch,expired_epoch,id,hash,block_id,block_index,out_sum,fee,deposit,size,invalid_before,invalid_hereafter,valid_contract,script_size,treasury_donation
11,107777670,0,,100000000000,5253767,553,1566,InfoAction,"{""tag"": ""InfoAction""}",,,,554,553,107777670,\x7f320409d9998712ff3a3cdf0c9439e1543f236a3d746766f78f1fdbe1e06bf8,11622438,9,9987445153,181913,100000000000,601,,,t,0,0
12,108041910,0,,100000000000,4563516,554,1630,InfoAction,"{""tag"": ""InfoAction""}",,,,555,554,108041910,\x9b62b3c632f329016a968ac25211825bb4f84b12461121c7da3aa11df92370f9,11661886,14,1345871,181297,100000000000,383,,,t,0,0
13,108980410,0,,100000000000,3391711,561,1892,InfoAction,"{""tag"": ""InfoAction""}",,,,562,561,108980410,\x7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6,11794543,12,11990791828,295653,100000000000,3187,,,t,0,0
15,109382083,0,,100000000000,4180416,563,1969,InfoAction,"{""tag"": ""InfoAction""}",,,,564,563,109382083,\x4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384,11845257,6,234865010,270001,100000000000,2600,,,t,0,0
16,109387915,0,,100000000000,5321718,563,1973,InfoAction,"{""tag"": ""InfoAction""}",,,,564,563,109387915,\x637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73,11846463,2,9993345457,177645,100000000000,501,,,t,0,0
14,109365119,0,,100000000000,5321055,563,1961,InfoAction,"{""tag"": ""InfoAction""}",,,,564,563,109365119,\xbd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26,11843663,2,2750000,250000,100002000000,1071,,,t,0,0
17,109397627,0,,100000000000,3391711,563,1983,InfoAction,"{""tag"": ""InfoAction""}",,,,564,563,109397627,\xdefbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49,11847866,12,12352487425,287073,100000000000,2992,,,t,0,0
67,113657169,0,,100000000000,5473879,587,6058,InfoAction,"{""tag"": ""InfoAction""}",,,,,,113657169,\x90cf51975f9c19c291bac3e57364a89507e64daa0a2d35e356f87e6684821556,12363296,1,149823499,176501,100000000000,375,,,t,0,0
18,109605083,0,,100000000000,5322199,564,2037,InfoAction,"{""tag"": ""InfoAction""}",,,,565,564,109605083,\xe14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee,11870630,19,2641190,181297,100000000000,383,,,t,0,0
66,113591364,0,,100000000000,3391711,586,6022,InfoAction,"{""tag"": ""InfoAction""}",,,,,586,113591364,\x89e3a4f09122d669d6f6c82dd894e02826e8497be7eb036233bafc0ee4fc6665,12354745,2,6609016485,334329,100000000000,4066,,,t,0,0
22,111497194,0,,100000000000,3391711,576,2536,InfoAction,"{""tag"": ""InfoAction""}",,,,577,576,111497194,\x495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280,12123162,5,133600048012,305201,100000000000,3404,,,t,0,0
20,111300899,0,,100000000000,5423582,574,2502,InfoAction,"{""tag"": ""InfoAction""}",,,,575,574,111300899,\x9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b,12093342,12,369725480,267229,100000000000,1027,,,t,0,0
